name,personal_name,last_modified.value,key,id,revision,bio.value,links.url,links.type.key,links.title,created.value,photos,latest_revision,birth_date,remote_ids.viaf,remote_ids.wikidata,remote_ids.isni,death_date,alternate_names,wikipedia,title,location,entity_type,role,fuller_name,bio
Jack Darr,Jack Darr,2008-08-20 01:49:22.613197,OL1077811A,3482885.0,2,,,,,,,,,,,,,,,,,,,,
Mark Channing,Mark Channing,2008-08-28 11:10:24.460826,OL1808732A,6376375.0,2,,,,,,,,,,,,,,,,,,,,
S. Flugge,,2008-04-29 13:35:46.87638,OL2678537A,10132952.0,1,,,,,,,,,,,,,,,,,,,,
Norman C. Harris,Norman C. Harris,2008-08-20 18:28:15.472554,OL1004726A,3198707.0,2,,,,,,,,,,,,,,,,,,,,
Edwin M. Hemmerling,Edwin M. Hemmerling,2008-08-22 06:56:05.093329,OL2008395A,7224782.0,2,,,,,,,,,,,,,,,,,,,,
A. James Mallmann,,2008-04-29 13:35:46.87638,OL2633925A,9939475.0,1,,,,,,,,,,,,,,,,,,,,
Albert Einstein,Albert Einstein,2020-09-27T07:54:19.064348,OL3175986A,,6,Theoretischer Physiker,,,,2008-04-30T09:38:13.731961,5724799.0,6.0,14. März 1879,75121530,Q937,000000012281955X,18. April 1955,Albert Einstein,http://de.wikipedia.org/wiki/Albert_Einstein,,,,,,
Albert Einstein,Albert Einstein,2020-09-27T07:54:19.064348,OL3175986A,,6,Theoretischer Physiker,,,,2008-04-30T09:38:13.731961,5724800.0,6.0,14. März 1879,75121530,Q937,000000012281955X,18. April 1955,Albert Einstein,http://de.wikipedia.org/wiki/Albert_Einstein,,,,,,
Albert Einstein,Albert Einstein,2020-09-27T07:54:19.064348,OL3175986A,,6,Theoretischer Physiker,,,,2008-04-30T09:38:13.731961,5724799.0,6.0,14. März 1879,75121530,Q937,000000012281955X,18. April 1955,Einstein,http://de.wikipedia.org/wiki/Albert_Einstein,,,,,,
Albert Einstein,Albert Einstein,2020-09-27T07:54:19.064348,OL3175986A,,6,Theoretischer Physiker,,,,2008-04-30T09:38:13.731961,5724800.0,6.0,14. März 1879,75121530,Q937,000000012281955X,18. April 1955,Einstein,http://de.wikipedia.org/wiki/Albert_Einstein,,,,,,
Leopold Infeld,Leopold Infeld,2020-09-30T12:39:19.758014,OL1737950A,,5,,,,,2008-04-01T03:28:50.625462,,5.0,1898,68930528,Q465488,0000000081480763,1968,,,,,,,,
Michel Del Castillo,Michel Del Castillo,2020-09-30T12:48:57.806377,OL141681A,,4,,,,,2008-04-01T03:28:50.625462,,4.0,1933,110346766,Q555545,0000000121476102,,,,,,,,,
Maurice J. Summerfield,Maurice J. Summerfield,2008-08-28 18:59:15.125968,OL621936A,1812794.0,2,,,,,,,,1940,,,,,,,,,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,6378571.0,14.0,1918,44298691,Q39246,0000000120960218,1988,Richard P. Feynman,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,7436179.0,14.0,1918,44298691,Q39246,0000000120960218,1988,Richard P. Feynman,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,6378571.0,14.0,1918,44298691,Q39246,0000000120960218,1988,Richard Feynman,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,7436179.0,14.0,1918,44298691,Q39246,0000000120960218,1988,Richard Feynman,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,6378571.0,14.0,1918,44298691,Q39246,0000000120960218,1988,Richard P Feynman,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,7436179.0,14.0,1918,44298691,Q39246,0000000120960218,1988,Richard P Feynman,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,6378571.0,14.0,1918,44298691,Q39246,0000000120960218,1988,RICHARD P. FEYNMAN,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,7436179.0,14.0,1918,44298691,Q39246,0000000120960218,1988,RICHARD P. FEYNMAN,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,6378571.0,14.0,1918,44298691,Q39246,0000000120960218,1988,Richard FEYNMAN,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,7436179.0,14.0,1918,44298691,Q39246,0000000120960218,1988,Richard FEYNMAN,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,6378571.0,14.0,1918,44298691,Q39246,0000000120960218,1988,Richard Philip Feynman,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,7436179.0,14.0,1918,44298691,Q39246,0000000120960218,1988,Richard Philip Feynman,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,6378571.0,14.0,1918,44298691,Q39246,0000000120960218,1988,"Feynman, Richard Phillips, 1918-",,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,7436179.0,14.0,1918,44298691,Q39246,0000000120960218,1988,"Feynman, Richard Phillips, 1918-",,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,6378571.0,14.0,1918,44298691,Q39246,0000000120960218,1988,"Feynman, Richard Phillips, 1918-1988",,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,7436179.0,14.0,1918,44298691,Q39246,0000000120960218,1988,"Feynman, Richard Phillips, 1918-1988",,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,6378571.0,14.0,1918,44298691,Q39246,0000000120960218,1988,Richard P. Feynman California Institute of Technology,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,7436179.0,14.0,1918,44298691,Q39246,0000000120960218,1988,Richard P. Feynman California Institute of Technology,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,6378571.0,14.0,1918,44298691,Q39246,0000000120960218,1988,"Richard, P. Feynman",,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,7436179.0,14.0,1918,44298691,Q39246,0000000120960218,1988,"Richard, P. Feynman",,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,6378571.0,14.0,1918,44298691,Q39246,0000000120960218,1988,Feynman,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,7436179.0,14.0,1918,44298691,Q39246,0000000120960218,1988,Feynman,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,6378571.0,14.0,1918,44298691,Q39246,0000000120960218,1988,Richard Phillips Feynman,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,7436179.0,14.0,1918,44298691,Q39246,0000000120960218,1988,Richard Phillips Feynman,,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,6378571.0,14.0,1918,44298691,Q39246,0000000120960218,1988,"Fei yin man (Feynman, Richard Phillips)",,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,7436179.0,14.0,1918,44298691,Q39246,0000000120960218,1988,"Fei yin man (Feynman, Richard Phillips)",,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,6378571.0,14.0,1918,44298691,Q39246,0000000120960218,1988,"Feynman, Richard Phillips",,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,7436179.0,14.0,1918,44298691,Q39246,0000000120960218,1988,"Feynman, Richard Phillips",,"(Feynman, Richard Phillips)",,,,,
Richard Phillips Feynman,Richard Phillips Feynman,2020-09-27T08:01:44.487821,OL35793A,,14,"Richard Phillips Feynman was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Sin-Itiro Tomonaga, received the Nobel Prize in Physics in 1965.
- Wikipedia",,,,2008-04-01T03:28:50.625462,6378571.0,14.0,1918,44298691,Q39246,0000000120960218,1988,R. Feynman,,"(Feynman, Richard Phillips)",,,,,
